hs4,품목명,google_signal,google_reason,kotra_signal,kotra_reason,final_signal_추천,결합근거,HHI_위험등급
3003,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-05-11] 수입에서 자립으로 가고 있는 알제리 의약품 시장 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2930,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-06-05] 페루 중장비 시장 성장세 지속&hellip; 한국산 장비 수입 확대 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2911,아세탈ㆍ헤미아세탈(그 밖의 산소관능 ,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 5건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-08-05] 아세안 최대 말레이시아 식음료 전시회 &#39;MIFB 2026&#39; 참관기 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
7804,시트(sheet)ㆍ스트립ㆍ박(箔)[두,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-06] 베트남 유아용 카시트 시장의 부상: 카시트 장착 의무화가 바꾸는 소비 지형 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
3909,폴리우레탄,GREEN,"① [Google] 매칭 근거: 매칭 키워드 없음 (최고점수 3, Google 24건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-30] [Company Analysis] [아이씨에이치] AI 로봇 소재 기업 도약 '아이씨에이치' …주식병합·공급 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,두 소스 모두 저위험 → 최댓값 채택,YELLOW
7010,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2841,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
2503,황[승화황(昇華黃)ㆍ침강황(沈降黃)ㆍ,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2706,석탄ㆍ갈탄ㆍ토탄을 증류해서 얻은 타르,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-03] 인도네시아 정부, 국영기업을 통한 석탄&middot;팜유&middot;합금철 수출 중앙집중화 추진  | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
7228,그 밖의 봉[열간(熱間)압연ㆍ열간인발,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2606,알루미늄광과 그 정광(精鑛),NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 3, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-05-27] 공급망 충격과 CEPA 발효, UAE 알루미늄 공급망의 위기와 기회 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2801,요드,GREEN,"① [Google] 매칭 근거: 매칭 키워드 없음 (최고점수 0, Google 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-08-01] 히바우두 연봉 18년 넘게 체불이라니…K리그 구단 박살내던 '아시아 초명문', ""구단 돈 없어 해체 위기""  | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,두 소스 모두 저위험 → 최댓값 채택,YELLOW
6811,그 밖의 시트(sheet)ㆍ패널ㆍ타일,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
2620,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 63건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",YELLOW,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 6, KOTRA 3건 중 위험/주의 1건) | ② 최고 위험 기사: [2026-06-09] 일본 배터리 리사이클 투자 가속&hellip; 재생 니켈&middot;코발트&middot;리튬 수급, 동아시 | ③ 판정: 주의 수준 신호 일부 확인 → 구조 지표(HHI)와 함께 모니터링, 성급한 RED 격상은 지양.",RED,KOTRA 주의 + Google 위험신호 동반 → 가중 격상,YELLOW
7608,알루미늄 합금으로 만든 것,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 3, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-05-27] 공급망 충격과 CEPA 발효, UAE 알루미늄 공급망의 위기와 기회 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
2519,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
7221,스테인리스강의 봉[열간(熱間)압연한 ,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 2건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-21] 제도권에 편입된 UAE 디르함 스테이블코인, 결제&middot;정산 인프라가 재편된다 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
6913,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
3206,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
3804,목재펄프를 제조할 때 생기는 폐액(廢,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
2924,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2530,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 63건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
3908,"폴리아미드-6, -11, -12, -",GREEN,"① [Google] 매칭 근거: 매칭 키워드 없음 (최고점수 0, Google 2건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-26] 나일론 시장 크기, 공유, 동향, 성장, 예측 2033 - Spherical Insights | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,두 소스 모두 저위험 → 최댓값 채택,YELLOW
7504,니켈의 가루와 플레이크(flake),NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,YELLOW,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 6, KOTRA 2건 중 위험/주의 2건) | ② 최고 위험 기사: [2026-07-15] 인도네시아 니켈 생산 쿼터(RKAB) 제도 개편과 글로벌 공급망 파급 효과 | ③ 판정: 주의 수준 신호 일부 확인 → 구조 지표(HHI)와 함께 모니터링, 성급한 RED 격상은 지양.",YELLOW,두 소스 모두 저위험 → 최댓값 채택,YELLOW
7105,다이아몬드의 것,GREEN,"① [Google] 매칭 근거: 매칭 키워드 없음 (최고점수 0, Google 5건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-08-03] [D-BIZ 글로벌 뉴스] 드 비어스 그룹, 상하이에서 ‘데저트 다이아몬드’ 아시아 첫 선…“진정성·개성·내 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 4건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-06] 글로벌 생산량의 95% 차지, 중국 인조다이아몬드 산업 동향  | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",GREEN,두 소스 모두 저위험 → 최댓값 채택,RED
2817,산화아연과 과산화아연,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-21] 중국 조선 세계 1위의 그늘, 기자재 국산화율 54%&hellip; 韓 기업, 고부가 선박에서 답을 찾다 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
2704,코크스와 반성(半成) 코크스(석탄ㆍ갈,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2513,부석,YELLOW,"① [Google] 매칭 근거: 긴장 (최고점수 5, Google 4건 중 위험/주의 1건) | ② 최고 위험 기사: [2026-07-29] [분석] 중국 CXMT 상장 흥행에 K반도체 긴장…증시 덮친 '추격론' - 오늘경제 | ③ 판정: 주의 수준 신호 일부 확인 → 구조 지표(HHI)와 함께 모니터링, 성급한 RED 격상은 지양.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,YELLOW,두 소스 모두 저위험 → 최댓값 채택,YELLOW
7011,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-06-05] 페루 중장비 시장 성장세 지속&hellip; 한국산 장비 수입 확대 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2820,이산화망간,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2940,당류(화학적으로 순수한 것으로 한정하,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-06-05] 페루 중장비 시장 성장세 지속&hellip; 한국산 장비 수입 확대 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
